,airline,dep_time,from,time_taken,stop,arr_time,to,price,class
61337,Air India,19:00,Bangalore,26h 05m,1-stop,21:05,Hyderabad,"7,752",0.0
61339,Indigo,11:10,Chennai,02h 25m,non-stop,13:35,Delhi,"8,507",0.0
61342,Indigo,21:50,Delhi,10h 00m,1-stop,07:50,Mumbai,"3,662",0.0
61349,Air India,18:00,Mumbai,14h 05m,2+-stop,08:05,Kolkata,"13,254",0.0
61357,Air India,17:45,Delhi,27h 05m,1-stop,20:50,Hyderabad,"10,828",0.0
61360,Indigo,05:30,Mumbai,07h 50m,1-stop,13:20,Kolkata,"5,996",0.0
61364,Indigo,19:35,Delhi,04h 40m,1-stop,00:15,Mumbai,"3,911",0.0
61374,Air India,16:05,Chennai,26h 25m,1-stop,18:30,Bangalore,"3,584",0.0
61375,Air India,09:30,Mumbai,11h 05m,1-stop,20:35,Delhi,"6,169",0.0
61377,Air India,19:00,Bangalore,26h 35m,1-stop,21:35,Hyderabad,"6,954",0.0
61382,Air India,21:00,Bangalore,19h 35m,1-stop,16:35,Kolkata,"13,969",0.0
61388,Air India,11:50,Bangalore,22h 40m,1-stop,10:30,Hyderabad,"6,500",0.0
61391,Vistara,07:10,Kolkata,12h 20m,2+-stop,19:30,Bangalore,"7,598",0.0
61396,Indigo,14:15,Kolkata,06h 10m,1-stop,20:25,Delhi,"10,742",0.0
61404,Vistara,06:50,Hyderabad,15h 55m,1-stop,22:45,Chennai,"15,268",0.0
61405,Vistara,20:25,Kolkata,16h 10m,1-stop,12:35,Mumbai,"10,425",0.0
61407,Indigo,08:40,Delhi,02h 10m,non-stop,10:50,Kolkata,"6,585",0.0
61410,Vistara,21:00,Mumbai,23h 55m,1-stop,20:55,Hyderabad,"9,303",0.0
61411,GO FIRST,06:05,Hyderabad,10h 45m,1-stop,16:50,Delhi,"5,029",0.0
61420,Vistara,12:30,Chennai,08h 25m,1-stop,20:55,Bangalore,"9,105",0.0
61427,Indigo,18:55,Mumbai,04h 20m,1-stop,23:15,Delhi,"3,010",0.0
61430,Vistara,07:00,Chennai,09h 55m,1-stop,16:55,Delhi,"11,868",0.0
61441,Vistara,20:25,Kolkata,21h 20m,2+-stop,17:45,Bangalore,"7,763",0.0
61442,Indigo,16:20,Mumbai,03h 45m,1-stop,20:05,Chennai,"4,327",0.0
61444,Air India,19:00,Kolkata,18h 50m,1-stop,13:50,Delhi,"14,154",0.0
61445,Vistara,05:45,Delhi,14h 10m,1-stop,19:55,Kolkata,"13,095",0.0
61446,Indigo,13:55,Kolkata,06h 50m,1-stop,20:45,Mumbai,"5,605",0.0
61451,Indigo,16:20,Kolkata,06h 25m,1-stop,22:45,Delhi,"5,339",0.0
61452,Air India,13:15,Hyderabad,10h 55m,1-stop,00:10,Mumbai,"8,128",0.0
61453,Vistara,19:55,Delhi,13h 05m,1-stop,09:00,Mumbai,"12,990",0.0
61455,Indigo,12:00,Chennai,10h 35m,1-stop,22:35,Delhi,"2,655",0.0
61458,Air India,16:55,Delhi,28h 20m,1-stop,21:15,Hyderabad,"14,040",0.0
61465,Indigo,11:05,Hyderabad,10h 45m,1-stop,21:50,Mumbai,"5,586",0.0
61467,Indigo,05:45,Hyderabad,02h 10m,non-stop,07:55,Kolkata,"7,498",0.0
61468,Air India,14:55,Chennai,20h 15m,1-stop,11:10,Bangalore,"3,798",0.0
61471,Air India,14:55,Chennai,05h 30m,1-stop,20:25,Delhi,"11,868",0.0
61473,Vistara,20:40,Delhi,20h 10m,1-stop,16:50,Kolkata,"7,910",0.0
61477,Air India,08:10,Mumbai,24h 45m,2+-stop,08:55,Bangalore,"14,766",0.0
61480,Air India,06:10,Chennai,13h 00m,1-stop,19:10,Kolkata,"6,713",0.0
61484,GO FIRST,16:10,Mumbai,05h 45m,1-stop,21:55,Kolkata,"5,667",0.0
61488,Air India,14:55,Chennai,08h 45m,1-stop,23:40,Kolkata,"6,662",0.0
61490,Air India,10:40,Delhi,22h 10m,1-stop,08:50,Kolkata,"6,120",0.0
61494,Air India,09:40,Kolkata,26h 50m,1-stop,12:30,Bangalore,"16,782",0.0
61495,Vistara,19:55,Bangalore,16h 45m,1-stop,12:40,Delhi,"13,317",0.0
61499,Vistara,07:00,Chennai,05h 40m,1-stop,12:40,Delhi,"11,448",0.0
61500,Vistara,17:10,Delhi,15h 40m,1-stop,08:50,Bangalore,"12,847",0.0
61501,Air India,20:20,Chennai,16h 10m,1-stop,12:30,Kolkata,"22,683",0.0
61504,Vistara,06:00,Mumbai,17h 20m,1-stop,23:20,Bangalore,"9,168",0.0
61505,Air India,10:55,Delhi,11h 35m,1-stop,22:30,Bangalore,"8,738",0.0
61506,Vistara,20:30,Chennai,12h 05m,1-stop,08:35,Delhi,"8,419",0.0
61507,Indigo,12:45,Hyderabad,06h 55m,1-stop,19:40,Mumbai,"16,581",0.0
61509,Vistara,20:35,Hyderabad,23h 00m,1-stop,19:35,Kolkata,"10,478",0.0
61512,Air India,19:00,Delhi,26h 35m,1-stop,21:35,Hyderabad,"4,524",0.0
61516,Indigo,06:50,Kolkata,09h 45m,1-stop,16:35,Mumbai,"18,937",0.0
61519,Indigo,11:40,Kolkata,07h 05m,1-stop,18:45,Delhi,"5,017",0.0
61520,Indigo,04:45,Chennai,07h 45m,1-stop,12:30,Kolkata,"4,079",0.0
61521,Indigo,22:55,Bangalore,07h 40m,1-stop,06:35,Mumbai,"4,806",0.0
61528,Indigo,10:00,Delhi,09h 40m,2+-stop,19:40,Mumbai,"2,568",0.0
61529,Indigo,19:20,Bangalore,05h 45m,1-stop,01:05,Delhi,"15,311",0.0
61533,Vistara,06:55,Chennai,13h 00m,1-stop,19:55,Hyderabad,"11,247",0.0
61542,Indigo,10:15,Bangalore,06h 20m,1-stop,16:35,Mumbai,"3,971",0.0
61546,Indigo,08:50,Mumbai,08h 45m,1-stop,17:35,Delhi,"4,342",0.0
61547,Indigo,17:25,Kolkata,05h 40m,1-stop,23:05,Hyderabad,"3,401",0.0
61549,Air India,20:20,Chennai,18h 10m,2+-stop,14:30,Kolkata,"14,283",0.0
61554,Indigo,07:10,Bangalore,06h 10m,1-stop,13:20,Kolkata,"9,588",0.0
61560,Air India,11:20,Hyderabad,20h 00m,1-stop,07:20,Chennai,"13,339",0.0
61562,Vistara,11:30,Bangalore,11h 15m,2+-stop,22:45,Chennai,"17,535",0.0
61565,Indigo,09:55,Hyderabad,05h 40m,1-stop,15:35,Kolkata,"8,141",0.0
61566,Vistara,10:15,Kolkata,12h 30m,1-stop,22:45,Chennai,"6,324",0.0
61568,Air India,17:50,Bangalore,25h 30m,1-stop,19:20,Hyderabad,"6,620",0.0
61573,Indigo,06:10,Bangalore,07h 10m,1-stop,13:20,Kolkata,"4,477",0.0
61576,Vistara,11:00,Hyderabad,08h 35m,2+-stop,19:35,Kolkata,"17,788",0.0
61585,Vistara,10:25,Kolkata,11h 10m,1-stop,21:35,Delhi,"10,889",0.0
61588,Indigo,06:00,Delhi,07h 20m,2+-stop,13:20,Hyderabad,"11,079",0.0
61598,Vistara,18:30,Mumbai,18h 05m,1-stop,12:35,Hyderabad,"15,918",0.0
61600,Indigo,23:20,Kolkata,08h 25m,1-stop,07:45,Mumbai,"6,630",0.0
61602,Vistara,11:30,Bangalore,12h 20m,2+-stop,23:50,Mumbai,"16,286",0.0
61604,Air India,20:00,Delhi,16h 10m,1-stop,12:10,Kolkata,"13,410",0.0
61608,Indigo,17:15,Hyderabad,01h 15m,non-stop,18:30,Bangalore,"5,224",0.0
61613,Air India,04:50,Delhi,16h 00m,1-stop,20:50,Bangalore,"9,516",0.0
61616,Indigo,19:40,Chennai,10h 10m,1-stop,05:50,Mumbai,"11,605",0.0
61618,Air India,07:05,Mumbai,13h 30m,1-stop,20:35,Hyderabad,"4,173",0.0
61624,Indigo,10:45,Bangalore,07h 55m,1-stop,18:40,Kolkata,"13,841",0.0
61629,Air India,06:10,Bangalore,09h 50m,1-stop,16:00,Kolkata,"8,492",0.0
61630,Air India,20:20,Chennai,25h 50m,1-stop,22:10,Mumbai,"4,357",0.0
61634,Air India,10:55,Delhi,10h 10m,1-stop,21:05,Hyderabad,"7,950",0.0
61635,Vistara,18:30,Hyderabad,15h 45m,1-stop,10:15,Mumbai,"3,776",0.0
61636,Indigo,09:40,Delhi,08h 00m,1-stop,17:40,Chennai,"4,601",0.0
61639,Indigo,12:45,Delhi,06h 55m,1-stop,19:40,Hyderabad,"16,193",0.0
61640,GO FIRST,05:50,Delhi,06h 50m,1-stop,12:40,Bangalore,"14,829",0.0
61642,Vistara,13:25,Hyderabad,07h 00m,1-stop,20:25,Bangalore,"11,497",0.0
61646,Air India,16:45,Delhi,25h 05m,1-stop,17:50,Mumbai,"10,921",0.0
61647,GO FIRST,08:00,Delhi,12h 40m,1-stop,20:40,Chennai,"4,896",0.0
61651,Air India,08:30,Chennai,14h 00m,1-stop,22:30,Bangalore,"11,186",0.0
61654,Vistara,18:50,Bangalore,28h 10m,1-stop,23:00,Mumbai,"18,686",0.0
61658,GO FIRST,06:05,Delhi,08h 50m,1-stop,14:55,Bangalore,"7,805",0.0
61661,Vistara,06:40,Bangalore,09h 40m,1-stop,16:20,Chennai,"6,435",0.0
61662,Air India,13:15,Hyderabad,27h 30m,1-stop,16:45,Delhi,"21,306",0.0
61664,Vistara,10:15,Kolkata,25h 15m,1-stop,11:30,Mumbai,"15,624",0.0
61665,Air India,06:45,Bangalore,12h 25m,1-stop,19:10,Delhi,"4,294",0.0
61671,Indigo,06:35,Hyderabad,09h 00m,1-stop,15:35,Kolkata,"6,663",0.0
61675,Vistara,10:15,Kolkata,22h 35m,2+-stop,08:50,Chennai,"16,835",0.0
61677,GO FIRST,19:35,Delhi,12h 20m,1-stop,07:55,Kolkata,"3,991",0.0
61682,Vistara,17:35,Kolkata,22h 55m,1-stop,16:30,Delhi,"16,269",0.0
61685,Vistara,17:10,Chennai,14h 45m,1-stop,07:55,Mumbai,"18,798",0.0
61694,Indigo,14:30,Chennai,05h 20m,1-stop,19:50,Mumbai,"3,458",0.0
61696,Air India,18:25,Bangalore,26h 40m,1-stop,21:05,Hyderabad,"8,592",0.0
61700,Vistara,17:45,Delhi,23h 05m,1-stop,16:50,Kolkata,"14,880",0.0
61702,Air India,20:00,Delhi,02h 10m,non-stop,22:10,Mumbai,"6,375",0.0
61704,Air India,09:55,Chennai,12h 20m,2+-stop,22:15,Bangalore,"6,237",0.0
61710,Air India,16:55,Delhi,27h 10m,1-stop,20:05,Mumbai,"5,702",0.0
61712,Vistara,20:40,Delhi,11h 10m,1-stop,07:50,Bangalore,"7,751",0.0
61715,Vistara,17:25,Chennai,17h 45m,1-stop,11:10,Mumbai,"4,117",0.0
61718,Vistara,15:20,Kolkata,25h 40m,1-stop,17:00,Hyderabad,"6,390",0.0
61721,Vistara,07:30,Delhi,12h 25m,2+-stop,19:55,Chennai,"16,884",0.0
61723,Indigo,06:10,Bangalore,07h 10m,1-stop,13:20,Kolkata,"11,426",0.0
61729,Vistara,06:00,Mumbai,12h 15m,1-stop,18:15,Bangalore,"13,916",0.0
61732,Air India,07:00,Delhi,16h 40m,1-stop,23:40,Kolkata,"13,830",0.0
61738,Indigo,17:40,Delhi,04h 15m,1-stop,21:55,Kolkata,"9,263",0.0
61739,Air India,09:55,Chennai,12h 20m,1-stop,22:15,Bangalore,"29,561",0.0
61744,Indigo,15:40,Chennai,06h 50m,1-stop,22:30,Kolkata,"4,939",0.0
61748,Indigo,07:25,Delhi,02h 55m,non-stop,10:20,Chennai,"7,635",0.0
61750,Indigo,05:15,Mumbai,03h 25m,1-stop,08:40,Hyderabad,"7,198",0.0
61753,Indigo,16:30,Bangalore,02h 50m,non-stop,19:20,Delhi,"7,698",0.0
61755,Indigo,18:15,Chennai,05h 25m,1-stop,23:40,Hyderabad,"1,105",0.0
61760,Indigo,20:15,Bangalore,04h 50m,1-stop,01:05,Delhi,"4,001",0.0
61761,Air India,20:20,Chennai,14h 10m,1-stop,10:30,Hyderabad,"10,321",0.0
61767,Air India,06:30,Hyderabad,08h 00m,2+-stop,14:30,Kolkata,"12,118",0.0
61770,Indigo,07:20,Delhi,05h 05m,1-stop,12:25,Mumbai,"8,601",0.0
61771,Air India,07:00,Chennai,16h 00m,1-stop,23:00,Delhi,"12,393",0.0
61775,Air India,14:40,Kolkata,29h 10m,1-stop,19:50,Delhi,"4,919",0.0
61780,Vistara,06:40,Bangalore,37h 15m,1-stop,19:55,Delhi,"20,711",0.0
61791,Indigo,09:40,Hyderabad,07h 40m,1-stop,17:20,Kolkata,"8,947",0.0
61792,Indigo,09:50,Delhi,05h 30m,1-stop,15:20,Kolkata,"6,932",0.0
61795,Air India,13:30,Kolkata,22h 25m,2+-stop,11:55,Hyderabad,"7,189",0.0
61799,Indigo,14:25,Kolkata,09h 20m,1-stop,23:45,Chennai,"9,419",0.0
61803,Air India,08:10,Mumbai,07h 35m,1-stop,15:45,Delhi,"5,219",0.0
61812,Vistara,07:10,Kolkata,05h 25m,1-stop,12:35,Hyderabad,"10,425",0.0
61813,Vistara,07:00,Chennai,09h 45m,1-stop,16:45,Delhi,"7,380",0.0
61814,Vistara,07:10,Kolkata,26h 30m,1-stop,09:40,Hyderabad,"11,139",0.0
61824,Vistara,07:05,Chennai,12h 00m,1-stop,19:05,Mumbai,"4,393",0.0
61827,Air India,09:00,Bangalore,22h 20m,2+-stop,07:20,Chennai,"5,539",0.0
61832,Vistara,09:30,Bangalore,11h 25m,1-stop,20:55,Hyderabad,"7,813",0.0
61833,Air India,07:55,Mumbai,06h 40m,1-stop,14:35,Delhi,"5,915",0.0
61836,Air India,06:10,Bangalore,08h 20m,1-stop,14:30,Kolkata,"13,474",0.0
61838,Air India,18:00,Delhi,18h 10m,1-stop,12:10,Kolkata,"5,805",0.0
61840,Indigo,07:20,Delhi,10h 15m,1-stop,17:35,Hyderabad,"7,525",0.0
61841,Air India,19:00,Delhi,16h 10m,1-stop,11:10,Bangalore,"4,545",0.0
61844,Air India,21:00,Mumbai,19h 45m,1-stop,16:45,Delhi,"16,443",0.0
61853,Vistara,08:30,Hyderabad,07h 30m,1-stop,16:00,Bangalore,"7,673",0.0
61855,Indigo,18:20,Delhi,05h 25m,1-stop,23:45,Chennai,"9,887",0.0
61858,Vistara,11:30,Bangalore,11h 25m,1-stop,22:55,Hyderabad,"6,577",0.0
61859,Indigo,08:00,Bangalore,07h 45m,2+-stop,15:45,Kolkata,"16,151",0.0
61872,Air India,09:40,Kolkata,08h 50m,1-stop,18:30,Bangalore,"6,932",0.0
61879,Vistara,06:00,Delhi,04h 45m,1-stop,10:45,Bangalore,"4,152",0.0
61883,Air India,09:00,Mumbai,24h 55m,1-stop,09:55,Hyderabad,"11,508",0.0
61886,Vistara,13:20,Delhi,09h 45m,2+-stop,23:05,Chennai,"11,201",0.0
61888,Indigo,10:15,Chennai,05h 30m,1-stop,15:45,Mumbai,"9,610",0.0
61889,Indigo,06:35,Chennai,01h 10m,non-stop,07:45,Hyderabad,"1,551",0.0
61895,Vistara,21:10,Bangalore,15h 25m,1-stop,12:35,Hyderabad,"6,577",0.0
61896,Vistara,06:50,Hyderabad,13h 15m,1-stop,20:05,Mumbai,"5,795",0.0
61898,Vistara,06:50,Hyderabad,09h 30m,1-stop,16:20,Chennai,"5,094",0.0
61903,Vistara,17:40,Hyderabad,05h 10m,1-stop,22:50,Mumbai,"4,731",0.0
61905,Air India,08:00,Mumbai,13h 20m,1-stop,21:20,Chennai,"9,749",0.0
61906,GO FIRST,22:50,Mumbai,11h 50m,1-stop,10:40,Delhi,"6,068",0.0
61912,Indigo,05:10,Bangalore,04h 05m,1-stop,09:15,Kolkata,"10,901",0.0
61917,Vistara,09:30,Bangalore,07h 15m,1-stop,16:45,Delhi,"5,930",0.0
61918,Vistara,18:50,Bangalore,23h 15m,1-stop,18:05,Kolkata,"12,544",0.0
61925,Indigo,15:00,Kolkata,08h 55m,1-stop,23:55,Hyderabad,"11,529",0.0
61926,Indigo,18:45,Chennai,02h 00m,non-stop,20:45,Mumbai,"6,827",0.0
61928,GO FIRST,10:40,Mumbai,09h 50m,2+-stop,20:30,Delhi,"13,801",0.0
61929,Vistara,09:05,Mumbai,11h 10m,2+-stop,20:15,Chennai,"17,922",0.0
61933,Air India,13:00,Kolkata,21h 30m,1-stop,10:30,Hyderabad,"7,491",0.0
61934,Air India,06:30,Hyderabad,32h 20m,2+-stop,14:50,Kolkata,"11,397",0.0
61938,Air India,06:00,Hyderabad,14h 05m,1-stop,20:05,Mumbai,"6,650",0.0
61939,Indigo,13:55,Hyderabad,09h 45m,1-stop,23:40,Bangalore,"4,836",0.0
61947,Indigo,15:00,Kolkata,07h 20m,1-stop,22:20,Hyderabad,"17,462",0.0
61949,Indigo,11:55,Kolkata,11h 10m,1-stop,23:05,Bangalore,"4,944",0.0
61951,Indigo,08:30,Bangalore,08h 55m,1-stop,17:25,Kolkata,"7,919",0.0
61953,Vistara,07:00,Mumbai,02h 40m,non-stop,09:40,Kolkata,"7,833",0.0
61954,Indigo,07:00,Delhi,07h 35m,1-stop,14:35,Mumbai,"6,428",0.0
61955,Vistara,05:45,Delhi,15h 10m,1-stop,20:55,Hyderabad,"10,050",0.0
61963,Air India,09:50,Mumbai,24h 40m,1-stop,10:30,Hyderabad,"7,968",0.0
61965,Vistara,10:15,Kolkata,12h 30m,1-stop,22:45,Chennai,"10,073",0.0
61970,Indigo,13:05,Bangalore,09h 35m,1-stop,22:40,Delhi,"4,284",0.0
61972,Indigo,06:05,Delhi,10h 00m,1-stop,16:05,Mumbai,"4,373",0.0
61973,Vistara,17:10,Chennai,23h 50m,1-stop,17:00,Hyderabad,"15,963",0.0
61998,Vistara,17:25,Delhi,02h 50m,non-stop,20:15,Chennai,"8,790",0.0
62003,GO FIRST,22:40,Mumbai,11h 10m,1-stop,09:50,Delhi,"3,867",0.0
62010,Indigo,13:40,Delhi,07h 15m,1-stop,20:55,Bangalore,"3,587",0.0
62011,Vistara,20:30,Chennai,23h 25m,1-stop,19:55,Kolkata,"11,247",0.0
62014,Air India,07:00,Kolkata,25h 55m,1-stop,08:55,Chennai,"7,844",0.0
62021,Vistara,08:30,Bangalore,27h 20m,1-stop,11:50,Chennai,"8,661",0.0
62028,Indigo,14:05,Mumbai,05h 00m,1-stop,19:05,Hyderabad,"19,961",0.0
62037,Indigo,20:55,Mumbai,08h 55m,1-stop,05:50,Delhi,"2,339",0.0
62039,Indigo,13:25,Delhi,07h 25m,1-stop,20:50,Bangalore,"3,354",0.0
62043,Air India,08:15,Chennai,09h 35m,1-stop,17:50,Mumbai,"7,050",0.0
62047,Vistara,18:30,Mumbai,22h 30m,1-stop,17:00,Hyderabad,"4,359",0.0
62054,Indigo,13:35,Hyderabad,08h 15m,1-stop,21:50,Delhi,"3,397",0.0
62059,Air India,05:30,Delhi,29h 10m,1-stop,10:40,Kolkata,"16,918",0.0
62060,Air India,06:10,Mumbai,15h 10m,1-stop,21:20,Chennai,"7,639",0.0
62073,Vistara,10:25,Kolkata,13h 20m,1-stop,23:45,Delhi,"10,889",0.0
62076,Vistara,06:00,Mumbai,12h 15m,1-stop,18:15,Bangalore,"17,493",0.0
62077,Vistara,10:45,Chennai,10h 10m,1-stop,20:55,Hyderabad,"15,132",0.0
62079,Vistara,07:00,Bangalore,13h 05m,1-stop,20:05,Mumbai,"7,422",0.0
62090,Indigo,19:55,Kolkata,11h 25m,1-stop,07:20,Chennai,"4,170",0.0
62091,Vistara,20:55,Mumbai,20h 05m,1-stop,17:00,Hyderabad,"7,703",0.0
62112,Vistara,19:40,Bangalore,13h 55m,1-stop,09:35,Kolkata,"11,642",0.0
62116,Air India,06:30,Hyderabad,12h 40m,1-stop,19:10,Kolkata,"4,789",0.0
62117,Air India,09:25,Kolkata,08h 55m,1-stop,18:20,Delhi,"5,467",0.0
62118,Vistara,07:30,Delhi,12h 25m,2+-stop,19:55,Kolkata,"17,063",0.0
62119,Vistara,19:00,Bangalore,25h 55m,1-stop,20:55,Hyderabad,"8,251",0.0
62124,Air India,11:00,Delhi,23h 55m,2+-stop,10:55,Chennai,"7,233",0.0
62132,Vistara,07:30,Delhi,12h 25m,2+-stop,19:55,Chennai,"25,590",0.0
62138,Air India,06:10,Chennai,17h 30m,1-stop,23:40,Kolkata,"7,472",0.0
62140,Air India,21:25,Delhi,23h 35m,1-stop,21:00,Bangalore,"16,245",0.0
62143,Vistara,07:10,Kolkata,13h 15m,1-stop,20:25,Bangalore,"13,728",0.0
62147,Air India,06:10,Chennai,17h 25m,1-stop,23:35,Hyderabad,"4,896",0.0
62149,Indigo,07:55,Delhi,09h 35m,1-stop,17:30,Chennai,"2,050",0.0
62150,Vistara,08:45,Mumbai,10h 50m,1-stop,19:35,Kolkata,"19,068",0.0
62152,Vistara,11:30,Bangalore,08h 45m,2+-stop,20:15,Chennai,"14,223",0.0
62156,Vistara,21:05,Chennai,21h 00m,1-stop,18:05,Kolkata,"13,122",0.0
62157,Air India,10:45,Hyderabad,29h 30m,2+-stop,16:15,Bangalore,"15,368",0.0
62166,Vistara,06:30,Mumbai,12h 20m,1-stop,18:50,Bangalore,"12,468",0.0
62171,Vistara,17:40,Hyderabad,15h 00m,1-stop,08:40,Bangalore,"11,497",0.0
62172,Air India,18:40,Delhi,19h 40m,1-stop,14:20,Bangalore,"5,491",0.0
62174,GO FIRST,05:45,Mumbai,05h 50m,1-stop,11:35,Kolkata,"10,376",0.0
62176,Air India,11:20,Hyderabad,22h 50m,1-stop,10:10,Mumbai,"7,774",0.0
62178,Indigo,10:45,Mumbai,09h 20m,1-stop,20:05,Chennai,"11,298",0.0
62180,Air India,20:20,Chennai,14h 10m,2+-stop,10:30,Hyderabad,"17,013",0.0
62181,GO FIRST,20:00,Bangalore,14h 40m,1-stop,10:40,Hyderabad,"12,424",0.0
62184,Vistara,06:00,Mumbai,16h 55m,1-stop,22:55,Hyderabad,"9,879",0.0
62186,Air India,18:15,Kolkata,14h 35m,1-stop,08:50,Hyderabad,"5,900",0.0
62187,Air India,07:55,Mumbai,11h 15m,1-stop,19:10,Bangalore,"12,663",0.0
62192,Air India,07:00,Mumbai,16h 35m,1-stop,23:35,Chennai,"5,152",0.0
62196,Vistara,08:30,Hyderabad,09h 35m,1-stop,18:05,Delhi,"11,593",0.0
62197,Air India,20:40,Delhi,14h 10m,1-stop,10:50,Kolkata,"4,700",0.0
62201,Air India,18:55,Kolkata,23h 05m,1-stop,18:00,Mumbai,"9,631",0.0
62204,Indigo,17:55,Delhi,06h 04m,1-stop,23:59,Bangalore,"3,996",0.0
62210,Vistara,08:45,Mumbai,14h 10m,1-stop,22:55,Hyderabad,"11,664",0.0
62218,Vistara,09:45,Chennai,23h 20m,1-stop,09:05,Delhi,"17,223",0.0
62222,Air India,06:30,Hyderabad,13h 35m,1-stop,20:05,Bangalore,"8,070",0.0
62224,Air India,08:30,Chennai,23h 35m,1-stop,08:05,Kolkata,"6,030",0.0
62227,Indigo,06:40,Delhi,06h 30m,1-stop,13:10,Bangalore,"3,778",0.0
62230,Indigo,11:30,Mumbai,04h 30m,1-stop,16:00,Bangalore,"11,141",0.0
62234,Vistara,07:10,Kolkata,14h 50m,1-stop,22:00,Mumbai,"10,425",0.0
62236,Air India,18:10,Hyderabad,14h 45m,2+-stop,08:55,Chennai,"21,716",0.0
62246,Indigo,17:35,Hyderabad,04h 25m,1-stop,22:00,Bangalore,"3,072",0.0
62248,Indigo,06:45,Hyderabad,05h 45m,1-stop,12:30,Chennai,"12,118",0.0
62254,Vistara,20:35,Hyderabad,19h 45m,1-stop,16:20,Chennai,"5,094",0.0
62255,Air India,20:00,Delhi,02h 10m,non-stop,22:10,Mumbai,"2,791",0.0
62258,Indigo,06:45,Hyderabad,05h 45m,1-stop,12:30,Chennai,"2,874",0.0
62261,GO FIRST,14:15,Bangalore,05h 00m,1-stop,19:15,Delhi,"7,487",0.0
62266,Vistara,06:40,Bangalore,09h 40m,1-stop,16:20,Chennai,"18,875",0.0
62268,Indigo,09:05,Kolkata,10h 30m,1-stop,19:35,Bangalore,"5,166",0.0
62270,Indigo,12:45,Bangalore,06h 55m,1-stop,19:40,Mumbai,"13,274",0.0
62271,Air India,09:40,Kolkata,21h 40m,1-stop,07:20,Chennai,"13,944",0.0
62273,Air India,08:05,Mumbai,11h 45m,2+-stop,19:50,Bangalore,"26,733",0.0
62274,Air India,06:10,Chennai,13h 10m,1-stop,19:20,Hyderabad,"5,134",0.0
62278,Vistara,17:40,Hyderabad,24h 25m,1-stop,18:05,Kolkata,"11,108",0.0
62284,GO FIRST,08:15,Chennai,09h 40m,1-stop,17:55,Bangalore,"10,556",0.0
62286,Vistara,17:10,Chennai,02h 45m,non-stop,19:55,Delhi,"11,973",0.0
62289,GO FIRST,15:45,Bangalore,03h 55m,1-stop,19:40,Mumbai,"9,306",0.0
62295,Air India,11:20,Chennai,06h 40m,1-stop,18:00,Delhi,"4,767",0.0
62301,Indigo,09:55,Chennai,10h 00m,1-stop,19:55,Delhi,"2,655",0.0
62302,Air India,19:00,Kolkata,15h 45m,1-stop,10:45,Bangalore,"3,948",0.0
62304,Vistara,11:25,Mumbai,11h 20m,2+-stop,22:45,Chennai,"14,567",0.0
62308,Air India,02:40,Bangalore,10h 15m,1-stop,12:55,Delhi,"6,634",0.0
62312,Air India,17:15,Kolkata,19h 45m,1-stop,13:00,Delhi,"7,124",0.0
62314,Vistara,19:55,Bangalore,26h 55m,1-stop,22:50,Delhi,"9,904",0.0
62316,Air India,07:55,Mumbai,11h 15m,1-stop,19:10,Bangalore,"18,606",0.0
62317,Indigo,11:00,Delhi,08h 35m,1-stop,19:35,Bangalore,"4,745",0.0
62323,Air India,06:10,Chennai,16h 10m,1-stop,22:20,Kolkata,"5,624",0.0
62324,Vistara,17:50,Bangalore,25h 45m,1-stop,19:35,Kolkata,"14,150",0.0
62330,Air India,07:55,Mumbai,13h 20m,1-stop,21:15,Hyderabad,"4,662",0.0
62333,Vistara,21:05,Chennai,12h 20m,1-stop,09:25,Hyderabad,"4,086",0.0
62334,Indigo,11:00,Kolkata,10h 30m,2+-stop,21:30,Bangalore,"6,489",0.0
62339,Indigo,09:55,Hyderabad,08h 00m,1-stop,17:55,Kolkata,"11,541",0.0
62340,Indigo,06:35,Chennai,05h 30m,1-stop,12:05,Delhi,"3,361",0.0
62349,Vistara,08:00,Bangalore,14h 45m,1-stop,22:45,Kolkata,"8,112",0.0
62351,Vistara,07:00,Mumbai,15h 25m,1-stop,22:25,Delhi,"6,122",0.0
62353,Vistara,08:45,Mumbai,09h 20m,1-stop,18:05,Kolkata,"6,159",0.0
62355,Air India,09:50,Delhi,08h 25m,1-stop,18:15,Mumbai,"4,590",0.0
62361,Indigo,11:20,Bangalore,06h 50m,1-stop,18:10,Hyderabad,"5,099",0.0
62367,Indigo,16:30,Chennai,01h 05m,non-stop,17:35,Bangalore,"3,677",0.0
62372,Air India,19:00,Bangalore,15h 55m,2+-stop,10:55,Chennai,"6,208",0.0
62376,Vistara,20:35,Hyderabad,14h 15m,1-stop,10:50,Bangalore,"6,310",0.0
62378,Vistara,11:55,Mumbai,06h 10m,1-stop,18:05,Kolkata,"11,664",0.0
62379,GO FIRST,13:30,Delhi,06h 10m,1-stop,19:40,Bangalore,"4,400",0.0
62380,Vistara,13:25,Hyderabad,09h 25m,1-stop,22:50,Mumbai,"5,171",0.0
62397,Vistara,21:05,Chennai,26h 15m,1-stop,23:20,Bangalore,"11,464",0.0
62398,Indigo,13:40,Mumbai,07h 15m,1-stop,20:55,Kolkata,"6,217",0.0
62399,Indigo,11:30,Mumbai,06h 10m,1-stop,17:40,Kolkata,"16,076",0.0
62406,Air India,05:20,Mumbai,05h 30m,1-stop,10:50,Kolkata,"4,247",0.0
